Модель,Год,Город,Поколение,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Привод,Руль,Цвет,Растаможен в Казахстане,Опции,Состояние,Цена
ВАЗ (Lada) Granta 2190,2013,Астана,2011 - 2018 1 поколение,Седан,1.6 (бензин),,Механика,Передний привод,Слева,белый,Да,"кожа, кондиционер",б/у,2500000
ВАЗ (Lada) Granta 2190,2017,Шымкент,2011 - 2018 1 поколение,Седан,1.6 (бензин),312 186 км,Механика,Передний привод,Слева,серый металлик,Да,"тонировка, хрустальная оптика, кожа, аудиосистема, CD-чейнджер, DVD-чейнджер, кондиционер, ГУР",б/у,2650000
ВАЗ (Lada) Granta 2190,2014,Уральск,2011 - 2018 1 поколение,Седан,1.6 (бензин),235 000 км,Механика,Передний привод,Слева,черный,Да,"аудиосистема, bluetooth, USB, сабвуфер, налог уплачен, техосмотр пройден",б/у,2290000
ВАЗ (Lada) Granta 2190,2022,Шымкент,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),50 000 км,Механика,Передний привод,Слева,,Да,,б/у,3850000
ВАЗ (Lada) Granta 2190,2018,Шымкент,2011 - 2018 1 поколение,Седан,1.6 (бензин),174 000 км,Автомат,Передний привод,Слева,серый металлик,Да,"дневные ходовые огни, корректор фар, обогрев зеркал, велюр, аудиосистема, bluetooth, USB, кондиционер, ГУР, ABS, SRS, полный электропакет, центрозамок, подогрев сидений",б/у,4300000
ВАЗ (Lada) Granta 2190,2014,Бейнеу,2011 - 2018 1 поколение,Седан,1.6 (бензин),,Механика,Передний привод,Слева,белый,Да,,б/у,2700000
ВАЗ (Lada) Granta 2190,2014,Уральск,2011 - 2018 1 поколение,Седан,1.6 (бензин),215 277 км,Механика,Передний привод,Слева,белый,Да,"MP3, USB, кондиционер, ГУР, SRS, центрозамок, налог уплачен, техосмотр пройден",б/у,2800000
ВАЗ (Lada) Granta 2190,2021,Усть-Каменогорск,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),60 000 км,Механика,Передний привод,Слева,серый металлик,Да,,б/у,4800000
ВАЗ (Lada) Granta 2190,2014,Актау,2011 - 2018 1 поколение,Седан,1.6 (бензин),245 689 км,Механика,Передний привод,Слева,серебристый,Да,"литые диски, тонировка, обвес, ветровики, фаркоп, шторки, аудиосистема, встроенный телефон, bluetooth, USB, кондиционер, центрозамок, бортовой компьютер, камера заднего вида, налог уплачен, техосмотр пройден, вложений не требует",б/у,2500000
ВАЗ (Lada) Granta 2190,2014,Костанай,2011 - 2018 1 поколение,Седан,1.6 (бензин),212 000 км,Механика,Передний привод,Слева,белый,Да,сабвуфер,б/у,2300000
ВАЗ (Lada) Granta 2190,2014,Актобе,2011 - 2018 1 поколение,Седан,1.6 (бензин),178 000 км,Механика,Передний привод,Слева,белый,Да,"аудиосистема, bluetooth, CD, USB, ABS, сигнализация, автозапуск, центрозамок, подогрев сидений, кондиционер, вложений не требует",б/у,3200000
ВАЗ (Lada) Granta 2190,2020,Лисаковск,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),105 000 км,Механика,Передний привод,Слева,белый,Да,"bluetooth, сабвуфер, ABS, автозапуск, камера заднего вида, кондиционер, налог уплачен, техосмотр пройден, вложений не требует",б/у,4500000
ВАЗ (Lada) Granta 2190,2022,Усть-Каменогорск,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),30 700 км,Автомат,Передний привод,Слева,серый металлик,Да,"литые диски, тонировка, дневные ходовые огни, корректор фар, велюр, аудиосистема, bluetooth, ГУР, ABS, сигнализация, автозапуск, кондиционер, бортовой компьютер, навигационная система, подогрев сидений, налог уплачен",б/у,5910000
ВАЗ (Lada) Granta 2190,2017,Уральск,2011 - 2018 1 поколение,Седан,1.6 (бензин),235 000 км,Механика,Передний привод,Слева,серебристый металлик,Нет,"тонировка, ксенон, противотуманки, аудиосистема, MP3, USB, ГУР, ABS, сигнализация, автозапуск, центрозамок, свежепригнан, вложений не требует",б/у,1900000
ВАЗ (Lada) Granta 2190,2014,Уральск,2011 - 2018 1 поколение,Седан,1.6 (бензин),200 000 км,Механика,Передний привод,Слева,серебристый,Да,"литые диски, тонировка, рейлинги, дневные ходовые огни, противотуманки, обогрев зеркал, комбинированный, аудиосистема, встроенный телефон, bluetooth, USB, кондиционер, ГУР, ABS, SRS, сигнализация, полный электропакет, центрозамок, бортовой компьютер, навигационная система, подогрев сидений, парктроники, камера заднего вида, датчик света, датчик дождя, налог уплачен, техосмотр пройден, вложений не требует",б/у,3000000
ВАЗ (Lada) Granta 2190,2018,Семей,2011 - 2018 1 поколение,Седан,1.6 (бензин),20 000 км,Автомат,Передний привод,Слева,серебристый,Да,"литые диски, велюр, сигнализация, кондиционер, налог уплачен, вложений не требует",б/у,4300000
ВАЗ (Lada) Granta 2190,2015,Семей,2011 - 2018 1 поколение,Седан,1.6 (бензин),188 000 км,Механика,Передний привод,Слева,белый,Да,"тонировка, фаркоп, дневные ходовые огни, противотуманки, корректор фар, аудиосистема, bluetooth, MP3, USB, DVD, сигнализация, автозапуск, центрозамок, кондиционер, навигационная система, камера заднего вида, налог уплачен, техосмотр пройден, вложений не требует",б/у,3050000
ВАЗ (Lada) Granta 2190,2021,Кызылорда,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),95 000 км,Автомат,Передний привод,Слева,белый металлик,Да,"литые диски, тонировка, дневные ходовые огни, противотуманки, корректор фар, велюр, bluetooth, MP3, USB, ГУР, ABS, SRS, сигнализация, автозапуск, центрозамок, кондиционер, бортовой компьютер, подогрев сидений, камера заднего вида, свежепригнан, свежедоставлен",б/у,4990000
ВАЗ (Lada) Granta 2190,2014,Астана,2011 - 2018 1 поколение,Седан,1.6 (бензин),160 264 км,Механика,Передний привод,Слева,серый,Да,,б/у,2700000
ВАЗ (Lada) Granta 2190,2020,Уральск,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),97 500 км,Автомат,Передний привод,Слева,серебристый,Да,"литые диски, тонировка, линзованная оптика, дневные ходовые огни, противотуманки, корректор фар, обогрев зеркал, велюр, bluetooth, ГУР, ABS, сигнализация, автозапуск, иммобилайзер, полный электропакет, центрозамок, климат-контроль, круиз-контроль, бортовой компьютер, мультируль, подогрев сидений, налог уплачен, техосмотр пройден, вложений не требует",б/у,5000000
ВАЗ (Lada) Granta 2190,2019,Караганда,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),177 000 км,Автомат,Передний привод,Слева,белый,Да,"тонировка, дневные ходовые огни, корректор фар, обогрев зеркал, велюр, аудиосистема, bluetooth, CD, MP3, USB, DVD, ГУР, ABS, зимний режим, сигнализация, автозапуск, центрозамок, подогрев сидений, налог уплачен, техосмотр пройден, вложений не требует",б/у,5300000
ВАЗ (Lada) Granta 2190,2012,Костанай,2011 - 2018 1 поколение,Седан,1.6 (бензин),239 533 км,Автомат,Передний привод,Слева,золотистый металлик,Да,"тонировка, дневные ходовые огни, обогрев зеркал, комбинированный, аудиосистема, bluetooth, MP3, USB, ABS, SRS, полный электропакет, центрозамок, кондиционер, бортовой компьютер, навигационная система, подогрев сидений, парктроники, налог уплачен, техосмотр пройден, вложений не требует",б/у,3400000
ВАЗ (Lada) Granta 2190,2017,Астана,2011 - 2018 1 поколение,Седан,1.6 (бензин),144 000 км,Механика,Передний привод,Слева,черный,Да,велюр,б/у,3200000
ВАЗ (Lada) Granta 2190,2020,Актобе,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),163 451 км,Механика,Передний привод,Слева,синий,Да,"литые диски, тонировка, ветровики, дневные ходовые огни, противотуманки, велюр, аудиосистема, bluetooth, MP3, USB, ГУР, ABS, SRS, сигнализация, полный электропакет, центрозамок, налог уплачен, техосмотр пройден",б/у,4010000
ВАЗ (Lada) Granta 2190,2021,Усть-Каменогорск,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),93 300 км,Механика,Передний привод,Слева,белый металлик,Да,"тонировка, ветровики, хрустальная оптика, дневные ходовые огни, противотуманки, велюр, шторки, MP3, USB, ГУР, ABS, SRS, сигнализация, автозапуск, налог уплачен, техосмотр пройден, вложений не требует",б/у,4100000
ВАЗ (Lada) Granta 2190,2020,Алматы,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),153 000 км,Механика,Передний привод,Слева,белый,Да,"тонировка, противотуманки, велюр, аудиосистема, USB, ГУР, ABS, SRS, зимний режим, сигнализация, автозапуск, полный электропакет, центрозамок, кондиционер, бортовой компьютер, налог уплачен, техосмотр пройден, вложений не требует",б/у,3600000
ВАЗ (Lada) Granta 2190,2017,Караганда,2011 - 2018 1 поколение,Седан,1.6 (бензин),245 000 км,Механика,Передний привод,Слева,черный,Да,"литые диски, тонировка, ветровики, хрустальная оптика, дневные ходовые огни, противотуманки, обогрев зеркал, велюр, аудиосистема, ГУР, ABS, сигнализация, автозапуск, центрозамок, кондиционер, налог уплачен, техосмотр пройден, вложений не требует",б/у,3000000
ВАЗ (Lada) Granta 2190,2013,Астана,2011 - 2018 1 поколение,Седан,1.6 (бензин),146 000 км,Механика,Передний привод,Слева,бронза,Да,"литые диски, тонировка, люк, климат-контроль",б/у,2000000
ВАЗ (Lada) Granta 2190,2013,Астана,2011 - 2018 1 поколение,Седан,1.6 (бензин),,Механика,Передний привод,Слева,белый металлик,Да,велюр,б/у,1950000
ВАЗ (Lada) Granta 2190,2014,Актобе,2011 - 2018 1 поколение,Седан,1.6 (бензин),170 000 км,Механика,Передний привод,Слева,,Да,,б/у,2500000
ВАЗ (Lada) Granta 2190,2019,Астана,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),130 000 км,Автомат,Передний привод,Слева,серый,Да,"литые диски, тонировка, багажник, хрустальная оптика, дневные ходовые огни, корректор фар, обогрев зеркал, велюр, аудиосистема, встроенный телефон, bluetooth, CD, CD-чейнджер, ГУР, ABS, сигнализация, автозапуск, полный электропакет, центрозамок, кондиционер, бортовой компьютер, подогрев сидений, вложений не требует",б/у,4300000
ВАЗ (Lada) Granta 2190,2015,Уральск,2011 - 2018 1 поколение,Седан,1.6 (бензин),,Механика,Передний привод,Слева,черный,Да,,б/у,2600000
ВАЗ (Lada) Granta 2190,2020,Алматы,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),190 000 км,Автомат,Передний привод,Слева,белый,Да,,б/у,2900000
ВАЗ (Lada) Granta 2190,2015,Астана,2011 - 2018 1 поколение,Седан,1.6 (бензин),200 000 км,Механика,Передний привод,Слева,бордовый металлик,Да,"тонировка, велюр, кондиционер",б/у,2150000
ВАЗ (Lada) Granta 2190,2012,Атырау,2011 - 2018 1 поколение,Седан,1.6 (бензин),220 000 км,Механика,Передний привод,Слева,вишня,Да,"литые диски, ветровики, линзованная оптика, дневные ходовые огни, противотуманки, кожа, bluetooth, USB, сабвуфер, кондиционер, налог уплачен, техосмотр пройден",б/у,2400000
ВАЗ (Lada) Granta 2190,2019,Атырау,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),,Механика,Передний привод,Слева,коричневый металлик,Да,"тонировка, дневные ходовые огни, противотуманки, велюр, аудиосистема, встроенный телефон, bluetooth, MP3, кондиционер, ГУР, ABS",б/у,2600000
ВАЗ (Lada) Granta 2190,2012,Актау,2011 - 2018 1 поколение,Седан,1.6 (бензин),,Механика,Передний привод,Слева,бежевый,Да,"литые диски, bluetooth, ABS, налог уплачен, техосмотр пройден, вложений не требует",б/у,1500000
ВАЗ (Lada) Granta 2190,2019,Павлодар,2018 - н.в. 1 поколение рестайлинг,Седан,1.6 (бензин),122 000 км,Механика,Передний привод,Слева,серый металлик,Да,"bluetooth, кондиционер, камера заднего вида, вложений не требует",б/у,4100000
ВАЗ (Lada) Granta 2190,2014,Караганда,2011 - 2018 1 поколение,Седан,1.6 (бензин),220 км,Механика,Передний привод,Слева,белый,Да,,б/у,2600000
ВАЗ (Lada) Granta 2190,2017,Актау,2011 - 2018 1 поколение,Седан,1.6 (бензин),,Механика,Передний привод,Слева,голубой,Нет,,б/у,2200000
ВАЗ (Lada) Granta 2190,2013,Усть-Каменогорск,2011 - 2018 1 поколение,Седан,1.6 (бензин),270 000 км,Механика,Передний привод,Слева,,Да,"тонировка, ветровики, дневные ходовые огни, велюр",б/у,2200000
